Work Place,Branch,Region
Abbeyleix District Hospital,Laois,Dublin Mid Leinster
Access Nursing Agency,Dublin East Coast Branch,Dublin Mid Leinster
Aclare House Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Aeromedevac Ireland Ltd,Dublin South West Branch,Dublin Mid Leinster
Affidea (Tallaght),Dublin South West Branch,Dublin Mid Leinster
Ailesbury Private Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Aisling House,Wicklow,Dublin Mid Leinster
Albany Clinic,Dublin East Coast Branch,Dublin Mid Leinster
Allied Irish Bank,Dublin East Coast Branch,Dublin Mid Leinster
Altadore Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Alvernia House (Hse-Midland Area),Laois,Dublin Mid Leinster
Alzheimer Society Of Ireland (Laois/Offaly),Laois,Dublin Mid Leinster
Alzheimers Society (Kildare),Kildare/Naas,Dublin Mid Leinster
Alzheimers Society (Wicklow),Wicklow,Dublin Mid Leinster
Ashbury Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Ashfield Health Care Ltd(Dublin 18),Dublin East Coast Branch,Dublin Mid Leinster
Ashfield Manor Nursing Home (Greystones),Wicklow,Dublin Mid Leinster
Ashford House Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Ashley Lodge Nursing Home,Kildare/Naas,Dublin Mid Leinster
Ashling House(Hse-East),Kildare/Naas,Dublin Mid Leinster
Athy/Baltinglass Branch-Unknown,Athy/Baltinglass Branch,Dublin Mid Leinster
Atlanta Nursing Home,Wicklow,Dublin Mid Leinster
Aylesbury Clinic (Tallaght),Dublin South West Branch,Dublin Mid Leinster
B Braun Ireland (B Braun Medical Ltd.),Dublin South West Branch,Dublin Mid Leinster
Baggot St.Community Hospital,Dublin East Coast Branch,Dublin Mid Leinster
Ballitore Health Centre,Kildare/Naas,Dublin Mid Leinster
Ballymore Eustace Health Centre,Kildare/Naas,Dublin Mid Leinster
Baltinglass District Hospital,Athy/Baltinglass Branch,Dublin Mid Leinster
Baltinglass Health Centre,Athy/Baltinglass Branch,Dublin Mid Leinster
Barratstown Camp,Kildare/Naas,Dublin Mid Leinster
Bayada (Home Health Care),Dublin East Coast Branch,Dublin Mid Leinster
Beacon Private Hospital,Dublin East Coast Branch,Dublin Mid Leinster
Beacon Renal Clinic,Dublin East Coast Branch,Dublin Mid Leinster
Beechfield Manor Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Beechpark Nursing Home (Kildare),Kildare/Naas,Dublin Mid Leinster
Bellvilla Nursing Unit,Dublin South West Branch,Dublin Mid Leinster
Belmont House  Nursing Home (Dublin),Dublin East Coast Branch,Dublin Mid Leinster
Birds Eye Ireland Limited,Kildare/Naas,Dublin Mid Leinster
Birr Community Nursing Unit,Offaly,Dublin Mid Leinster
Blackrock Clinic,Dublin East Coast Branch,Dublin Mid Leinster
Blackrock College,Dublin East Coast Branch,Dublin Mid Leinster
Blackrock Hospice (Dublin),Dublin East Coast Branch,Dublin Mid Leinster
Blackrock Medical Practice,Dublin East Coast Branch,Dublin Mid Leinster
Blainroe Lodge Nursing Home,Wicklow,Dublin Mid Leinster
Bloomfield Care Centre,Dublin East Coast Branch,Dublin Mid Leinster
Bluebird Home Care (Dublin),Dublin South West Branch,Dublin Mid Leinster
Boot Road Health Centre,Dublin South West Branch,Dublin Mid Leinster
Brabazon Trust,Dublin East Coast Branch,Dublin Mid Leinster
Bradshaws Lane Surgery,Wicklow,Dublin Mid Leinster
Bray Manor Nursing Home,Wicklow,Dublin Mid Leinster
Bride St.Health Centre,Dublin South West Branch,Dublin Mid Leinster
Bru Chaoimhin Day Care,Dublin South West Branch,Dublin Mid Leinster
Cairn Hill Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Caredoc (Wicklow),Wicklow,Dublin Mid Leinster
Caredoc CIT Wicklow,Wicklow,Dublin Mid Leinster
Caritas Centre(Nursing Home),Dublin East Coast Branch,Dublin Mid Leinster
Carthage Nursing Home,Offaly,Dublin Mid Leinster
Carysfort Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Casement Aerodrome(Army Service),Dublin East Coast Branch,Dublin Mid Leinster
Cashel Road Health Centre,Dublin South West Branch,Dublin Mid Leinster
Castledermot Health Centre,Kildare/Naas,Dublin Mid Leinster
Cedar House Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Ceile Care,Dublin East Coast Branch,Dublin Mid Leinster
Central Mental Hospital,Dublin East Coast Branch,Dublin Mid Leinster
Central Remedial Clinic (Clondalkin),Dublin South West Branch,Dublin Mid Leinster
Centric Health (Dublin South),Dublin East Coast Branch,Dublin Mid Leinster
Centric Health (Midlands),Laois,Dublin Mid Leinster
Cerebal Palsy Ireland,Dublin East Coast Branch,Dublin Mid Leinster
Charlemont Clinic,Dublin South West Branch,Dublin Mid Leinster
Charleville Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Cheeverstown House,Dublin South West Branch,Dublin Mid Leinster
Cherry Orchard Health Centre,Dublin South West Branch,Dublin Mid Leinster
Cherry Orchard Hospital,Dublin South West Branch,Dublin Mid Leinster
Cherryfield Lodge Nursing Home (Dublin),Dublin East Coast Branch,Dublin Mid Leinster
Cheshire Home (Wicklow),Wicklow,Dublin Mid Leinster
Chi - Connolly,Dublin Northern Branch,Dublin Mid Leinster
Chi - Corporate,Dublin Northern Branch,Dublin Mid Leinster
Chi - Crumlin,Dublin South West Branch,Dublin Mid Leinster
Chi - Tallaght,Dublin South West Branch,Dublin Mid Leinster
Chi - Temple St,Dublin South West Branch,Dublin Mid Leinster
Child & Family Agency - Tusla (Kildare),Kildare/Naas,Dublin Mid Leinster
Child & Family Agency -Tusla-  (Offaly),Offaly,Dublin Mid Leinster
Clane Health Centre,Kildare/Naas,Dublin Mid Leinster
Clongowes Wood College,Kildare/Naas,Dublin Mid Leinster
Clonskeagh Community Nursing Unit,Dublin East Coast Branch,Dublin Mid Leinster
Clover Lodge Nursing Home (Athy),Athy/Baltinglass Branch,Dublin Mid Leinster
Clover Lodge Nursing Home (Offaly),Offaly,Dublin Mid Leinster
Cloverhill Prison,Dublin South West Branch,Dublin Mid Leinster
Cognate Health (Dublin),Dublin East Coast Branch,Dublin Mid Leinster
Communicare Healthcare (Midlands),Laois,Dublin Mid Leinster
Community Care Area 1 (Dun Laoghaire),Dublin East Coast Branch,Dublin Mid Leinster
Community Care Area 2,Dublin East Coast Branch,Dublin Mid Leinster
Community Care Area Dublin North East,Dublin South West Branch,Dublin Mid Leinster
Community Care Area Dublin South City (3),Dublin East Coast Branch,Dublin Mid Leinster
Community Care Area Dublin South West (4),Dublin South West Branch,Dublin Mid Leinster
Community Care Area Dublin West (5),Dublin South West Branch,Dublin Mid Leinster
Community Care Area Kildare/Naas/West Wicklow (9),Kildare/Naas,Dublin Mid Leinster
Community Care Area Laois,Laois,Dublin Mid Leinster
Community Care Area Offaly,Offaly,Dublin Mid Leinster
Community Care Area Wicklow,Wicklow,Dublin Mid Leinster
Consolation Nursing Home,Offaly,Dublin Mid Leinster
Coombe Womens Hospital,Dublin South West Branch,Dublin Mid Leinster
Cowper Care Centre,Dublin South West Branch,Dublin Mid Leinster
Cpl Health Care,Dublin East Coast Branch,Dublin Mid Leinster
Craddock House Nursing Home,Kildare/Naas,Dublin Mid Leinster
Croft Nursing Home,Dublin South West Branch,Dublin Mid Leinster
Crthage Nursing Home,Offaly,Dublin Mid Leinster
Cuan Leanbh (Tullamore),Offaly,Dublin Mid Leinster
Curlew Road Health Centre,Dublin South West Branch,Dublin Mid Leinster
Curragh Lawn Nursing Home,Kildare/Naas,Dublin Mid Leinster
Curragh Military Hospital,Kildare/Naas,Dublin Mid Leinster
Dalkey Community Nursing Unit,Dublin East Coast Branch,Dublin Mid Leinster
Dalkey Lodge Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Dalkey Private Home,Dublin East Coast Branch,Dublin Mid Leinster
Dargle Valley Nursing Home,Wicklow,Dublin Mid Leinster
Deansrath Health Centre,Dublin South West Branch,Dublin Mid Leinster
Debra Ireland Ltd,Dublin East Coast Branch,Dublin Mid Leinster
Department Of Health,Dublin East Coast Branch,Dublin Mid Leinster
Dept. Of Social Protection,Dublin East Coast Branch,Dublin Mid Leinster
Derrinturn Health Centre,Kildare/Naas,Dublin Mid Leinster
Diageo Ireland,Dublin South West Branch,Dublin Mid Leinster
Domnin Nursing Home,Laois,Dublin Mid Leinster
Donore Nursing Home,Wicklow,Dublin Mid Leinster
Dr Steevens Hospital- Hse,Dublin South West Branch,Dublin Mid Leinster
Drogheda Memorial Hospital,Kildare/Naas,Dublin Mid Leinster
Droimnin Nursing Home,Laois,Dublin Mid Leinster
Dublin Call & Care Ltd,Dublin East Coast Branch,Dublin Mid Leinster
Dublin Dental Hospital,Dublin East Coast Branch,Dublin Mid Leinster
Dublin East Coast Branch-Unknown,Dublin East Coast Branch,Dublin Mid Leinster
Dublin South West Branch-Unknown,Dublin South West Branch,Dublin Mid Leinster
E.S.B.,Dublin East Coast Branch,Dublin Mid Leinster
Ealga Lodge Nursing Home,Offaly,Dublin Mid Leinster
Earlsbrook House Nursing Home (First Care),Wicklow,Dublin Mid Leinster
Eastdoc - Gp Service-(Erha),Dublin East Coast Branch,Dublin Mid Leinster
Edenderry Nursing Unit,Offaly,Dublin Mid Leinster
Eliza Lodge Nursing Home,Offaly,Dublin Mid Leinster
Elm Hall Nursing Home,Kildare/Naas,Dublin Mid Leinster
Enable Ireland,Dublin East Coast Branch,Dublin Mid Leinster
Esker Ri (Nursing Home),Offaly,Dublin Mid Leinster
Euromedic Private Clinic,Dublin East Coast Branch,Dublin Mid Leinster
Eye & Ear Hospital(Dublin),Dublin East Coast Branch,Dublin Mid Leinster
Eyrefield Manor Nursing Home,Wicklow,Dublin Mid Leinster
Ferbane Care Centre (Windmill Healthcare),Offaly,Dublin Mid Leinster
Ferndene Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Four Ferns Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Foxrock Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Gallen Priory Nursing Home,Offaly,Dublin Mid Leinster
Gascoigne Home,Dublin South West Branch,Dublin Mid Leinster
Gheel Autism Services,Kildare/Naas,Dublin Mid Leinster
Glebe House Nursing Home (Kiltiernan),Dublin East Coast Branch,Dublin Mid Leinster
Glebe Nursing Home,Wicklow,Dublin Mid Leinster
Glenashling Nursing Home,Kildare/Naas,Dublin Mid Leinster
Glenaulin Nursing Home,Dublin South West Branch,Dublin Mid Leinster
Glencarrig Nursing Home,Dublin South West Branch,Dublin Mid Leinster
Glengara Park House,Dublin East Coast Branch,Dublin Mid Leinster
Gp Out Of Hours Service (Community Healthcare East),Dublin East Coast Branch,Dublin Mid Leinster
Greystones Medical Centre (Gp Practice),Wicklow,Dublin Mid Leinster
Greystones Nursing Home,Wicklow,Dublin Mid Leinster
Harley Medical Group,Dublin East Coast Branch,Dublin Mid Leinster
Harvey Healthcare Group,Dublin East Coast Branch,Dublin Mid Leinster
Harvey Nursing Home,Dublin East Coast Branch,Dublin Mid Leinster
Hawthorns Centre-Hse-East,Dublin East Coast Branch,Dublin Mid Leinster
Hazel Hall Nursing Home,Kildare/Naas,Dublin Mid Leinster
Health Research Board,Dublin East Coast Branch,Dublin Mid Leinster
Health Screening Ireland,Dublin South West Branch,Dublin Mid Leinster
Healthwatch Ireland (Cruinn Diagnostics Ltd),Dublin East Coast Branch,Dublin Mid Leinster
